FACILITY_ID,FACILITY_NAME,CHEM_NAME,CAS_NUM,CHEM_ID,CARCINOGEN,CLEAN_AIR,LIST_3350,STREET_ADDRESS,CITY_NAME,COUNTY_NAME,STATE_ABBR,GENERIC_CHEM_NAME,CAS_CHEM_NAME,INDUSTRY_CODE
61103DNFDS1126K,DEAN FOODS CO,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",   7647-01-0,7647010,N,Y,N,1126 KILBURN AVE,ROCKFORD,WINNEBAGO,IL,NA,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",311
60185HLBLC1400N,BLACHFORD INC,DI(2-ETHYLHEXYL) PHTHALATE,    117-81-7,117817,Y,Y,N,1400 NUCLEAR DR,WEST CHICAGO,DUPAGE,IL,NA,DI(2-ETHYLHEXYL) PHTHALATE,326
62201TRDWS7MOBI,VEOLIA ES TECHNICAL SOLUTIONS LLC,CERTAIN GLYCOL ETHERS,N230,N230,N,Y,N,7 MOBILE AVE,SAUGET,ST CLAIR,IL,NA,CERTAIN GLYCOL ETHERS,562
62024LNCRPSHAMR,OLIN CORP WINCHESTER MAIN PLANT,COPPER COMPOUNDS,N100,N100,N,N,N,427 NORTH SHAMROCK ST.,EAST ALTON,MADISON,IL,NA,COPPER COMPOUNDS,332
60901THVLS901NO,ENGINEERED POLYMER SOLUTIONS INC D/B/A VALSPAR COATINGS,N-BUTYL ALCOHOL,     71-36-3,71363,N,N,N,901 N GREENWOOD AVE,KANKAKEE,KANKAKEE,IL,NA,N-BUTYL ALCOHOL,325
60608LSTMR2448W,ELASTOMER PROCESSING GROUP - C HICAGO,ZINC COMPOUNDS,N982,N982,N,N,N,2448 W 24TH ST,CHICAGO,COOK,IL,NA,ZINC COMPOUNDS,326
60628SGKYW11900,KEYWELL CORP,NICKEL,   7440-02-0,7440020,Y,Y,Y,11900 S COTTAGE GROVE AVE,CHICAGO,COOK,IL,NA,NICKEL,332
62040NSTLF2101A,NESTLE BEVERAGE CO,NITRIC ACID,   7697-37-2,7697372,N,N,N,2101 ADAMS ST,GRANITE CITY,MADISON,IL,NA,NITRIC ACID,311
62040HDTMN10NOR,HEIDTMAN STEEL PRODUCTS INC,NICKEL,   7440-02-0,7440020,Y,Y,Y,10 NORTHGATE INDUSTRIAL DR,GRANITE CITY,MADISON,IL,NA,NICKEL,332
60623CRWNC3501W,CROWN CORK & SEAL CO INC,TOLUENE,    108-88-3,108883,N,Y,N,3501 W 31ST ST,CHICAGO,COOK,IL,NA,TOLUENE,332
60152RNLDN300WE,ARNOLD MAGNETIC TECHNOLOGIES - ARNOLD ENGINEERING,NICKEL,   7440-02-0,7440020,Y,Y,Y,300 N W ST,MARENGO,MCHENRY,IL,NA,NICKEL,331
61641KYSTN7000S,KEYSTONE STEEL & WIRE CO,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",   7647-01-0,7647010,N,Y,N,7000 SW ADAMS ST,BARTONVILLE,PEORIA,IL,NA,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",331
